time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-07-19T04:03:39.644Z,52.0532,-170.7749,47.561,3.9,mb,40,160,0.905,0.82,us,us7000n07u,2024-07-19T21:30:34.040Z,"163 km SW of Nikolski, Alaska",earthquake,7.11,7.926,0.128,16,reviewed,us,us
2024-07-19T03:54:34.810Z,19.3925,-155.2455,1.5,2.62,ml,34,61,0.008856,0.08,hv,hv74344006,2024-07-19T18:42:29.700Z,"5 km SSW of Volcano, Hawaii",earthquake,0.14,0.14,0.160382063121654,11,reviewed,hv,hv
2024-07-19T03:37:32.150Z,17.9955,-66.83,12.69,3.03,md,22,143,0.03763,0.21,pr,pr71455838,2024-07-19T03:53:01.760Z,"1 km W of Indios, Puerto Rico",earthquake,0.46,0.31,0.0100219547610902,5,reviewed,pr,pr
2024-07-19T03:13:47.434Z,52.0951,-170.9306,41.478,6,mwr,147,36,0.964,0.94,us,us7000n068,2024-07-20T02:45:53.953Z,"168 km SW of Nikolski, Alaska",earthquake,6.86,4.653,0.052,36,reviewed,us,us
2024-07-19T03:11:24.734Z,-23.3841,-67.8196,145.351,4.7,mb,32,150,0.542,1.01,us,us7000n066,2024-07-19T03:33:13.040Z,"65 km SE of San Pedro de Atacama, Chile",earthquake,9.14,5.308,0.059,88,reviewed,us,us
2024-07-19T02:17:39.340Z,-23.265,-67.8693,159.102,4.6,mb,25,68,0.422,0.79,us,us7000n05q,2024-07-19T22:19:13.040Z,"51 km SE of San Pedro de Atacama, Chile",earthquake,9.33,6.296,0.165,11,reviewed,us,us
2024-07-19T02:15:51.863Z,-23.1734,-67.9407,138.235,5,mb,37,73,0.311,0.74,us,us7000n05k,2024-07-19T02:28:54.040Z,"39 km SE of San Pedro de Atacama, Chile",earthquake,7.95,2.616,0.126,20,reviewed,us,us
2024-07-19T01:50:47.675Z,-23.0467,-67.7818,117.434,7.4,mww,105,29,0.378,1.12,us,us7000n05d,2024-07-20T16:39:58.903Z,"45 km ESE of San Pedro de Atacama, Chile",earthquake,7.05,2.719,0.026,144,reviewed,us,us
2024-07-19T01:25:31.559Z,58.2627,-151.355,20.6,2.7,ml,,,,0.42,ak,ak02498frm3z,2024-07-19T01:36:21.040Z,"77 km ENE of Ouzinkie, Alaska",earthquake,,0.8,,,automatic,ak,ak
2024-07-19T01:00:15.600Z,37.3115,-121.4905,7.67,3.35,ml,137,34,0.05104,0.14,nc,nc75036707,2024-07-20T01:10:54.792Z,"25 km NE of Morgan Hill, CA",earthquake,0.11,0.27,0.158,121,reviewed,nc,nc
2024-07-19T00:48:19.570Z,31.57,-115.696,7,3.44,ml,21,63,0.1933,0.18,ci,ci40664127,2024-07-20T00:50:31.925Z,"84 km E of Maneadero, B.C., MX",earthquake,0.19,0.99,0.17,218,reviewed,ci,ci
2024-07-19T00:10:15.410Z,18.3116666666667,-67.4565,83.2,3.11,md,14,153,0.3108,0.09,pr,pr71455808,2024-07-19T00:29:00.130Z,"22 km W of Rincón, Puerto Rico",earthquake,0.92,0.58,0.0898835797863451,8,reviewed,pr,pr
2024-07-18T23:38:11.641Z,67.1098,-144.2933,1.3,2.7,ml,,,,0.7,ak,ak024975ejsc,2024-07-19T02:58:25.040Z,"56 km NNW of Chalkyitsik, Alaska",earthquake,,0.5,,,automatic,ak,ak
2024-07-18T23:21:16.919Z,28.6714,138.8423,497.489,4,mb,51,74,3.349,0.63,us,us7000n04e,2024-07-19T02:47:06.040Z,"Bonin Islands, Japan region",earthquake,11.1,9.18,0.062,69,reviewed,us,us
2024-07-18T22:54:38.310Z,45.8213,143.1744,322.281,4.6,mb,90,104,1.173,0.51,us,us7000n04c,2024-07-19T02:40:30.040Z,"95 km SSE of Korsakov, Russia",earthquake,8.9,5.506,0.025,468,reviewed,us,us
2024-07-18T21:49:26.256Z,51.623,-178.9963,80.706,3.6,mb,38,136,0.133,0.5,us,us7000n03w,2024-07-19T02:10:12.071Z,"165 km W of Adak, Alaska",earthquake,8.14,3.652,0.114,19,reviewed,us,us
